payment_txn_id,payment_txn_success,failure_reason
ZK-484893,Y,
oV-314351,Y,
Mg-091941,Y,
WX-057600,Y,
Hp-437381,Y,
KN-159282,Y,
CQ-995702,Y,
fV-003761,N,Incorrect Pin
LI-245541,Y,
mD-214770,Y,
Hy-695692,Y,
Kv-725767,Y,
VO-349598,Y,
tl-756376,Y,
ld-525567,Y,
yD-472261,N,Credit or debit card is expired 
PC-986578,Y,
Ah-218269,Y,
ZU-510490,Y,
nq-149274,Y,
Eq-470108,N,The billing address is invalid 
RY-565047,Y,
Jb-258697,Y,
Us-727787,Y,
FL-113849,Y,
Ur-111157,Y,
Pv-430222,N,The billing address is invalid 
iY-430100,Y,
vr-637979,Y,
mw-964301,Y,
dx-218928,N,The billing address is invalid 
FG-049551,Y,
Ud-234069,N,The billing address is invalid 
gN-900421,Y,
qN-596032,Y,
lP-770488,Y,
bK-378568,N,Credit or debit card is expired 
lr-857072,Y,
dY-502871,Y,
pA-225368,Y,
hI-368705,Y,
SE-758469,N,The billing address is invalid 
kq-762048,Y,
Kq-237733,Y,
pw-409283,N,Credit or debit card is expired 
Mh-238554,Y,
kd-012748,Y,
IA-872819,Y,
OK-649605,N,Credit or debit card is canceled
Lj-380718,Y,
Yi-733965,N,Merchant account blocks the transaction
MJ-635337,Y,
sX-000596,Y,
KW-483561,Y,
Hf-847211,Y,
hP-960370,Y,
jo-086349,Y,
lz-231762,Y,
tE-151342,Y,
OD-461374,Y,
Fx-209408,Y,
jZ-452129,Y,
Ri-815070,N,Credit or debit card is expired 
Uv-005578,Y,
Dm-702053,Y,
hQ-656497,N,Credit or debit card is canceled
SP-820878,Y,
IG-245555,Y,
rm-948618,Y,
Es-207013,Y,
Re-274879,N,The payment gateway does not support
OM-621794,N,Credit or debit card is expired 
ag-454748,Y,
WW-934278,Y,
aO-509565,Y,
nx-396398,Y,
qu-613658,N,Merchant account blocks the transaction
JN-310799,Y,
zE-670457,Y,
Yc-680384,Y,
Wg-042776,Y,
hu-900167,Y,
PF-050941,Y,
wV-625884,Y,
UK-159242,Y,
GS-561352,N,Incorrect Pin
aY-467979,Y,
Nh-515689,Y,
io-581715,N,The payment gateway does not support
kn-402724,Y,
hK-412151,Y,
iX-916831,Y,
JT-999259,Y,
pw-459588,Y,
cl-918821,Y,
cd-226631,Y,
rq-099172,Y,
BY-576747,Y,
KW-982062,Y,
Fo-530867,Y,
eA-780036,N,Credit or debit card is expired 
Nq-161650,Y,
Uo-542180,Y,
aZ-650758,Y,
Gg-329668,Y,
fO-441552,Y,
gi-975700,N,The consumers account is suspended or closed 
rv-506497,Y,
iA-447086,N,Incorrect Pin
Jf-468722,N,The payment gateway does not support
IG-636536,N,The payment gateway does not support
ZS-555851,Y,
mV-777504,Y,
KJ-625840,Y,
eS-147528,Y,
BJ-223486,Y,
jX-802979,Y,
Zb-318297,Y,
RI-011239,Y,
py-274628,Y,
Sp-420120,Y,
cS-904102,Y,
tG-034719,Y,
Bz-886824,Y,
dh-462228,Y,
Bn-203126,Y,
xN-771179,Y,
tN-999704,Y,
xl-937349,Y,
qY-104290,Y,
SO-495681,Y,
tN-712114,Y,
gn-627793,Y,
BX-537688,Y,
FS-126474,N,Incorrect Pin
je-326284,Y,
qN-603805,Y,
bd-618297,Y,
HK-671182,Y,
tD-918331,Y,
re-119980,Y,
qX-873952,Y,
MP-468191,Y,
ci-326860,Y,
PJ-654196,Y,
Ko-649417,Y,
Zw-405912,N,The consumers account is suspended or closed 
nR-765630,N,Incorrect Pin
gq-482650,Y,
oj-607704,N,The consumers account is suspended or closed 
Fw-800386,Y,
yT-764111,Y,
Ss-952392,N,The payment gateway does not support
Ty-762654,N,Incorrect Pin
Ui-982688,N,The billing address is invalid 
yj-650442,N,The consumers account is suspended or closed 
Yd-222242,Y,
Xa-109218,N,The consumers account is suspended or closed 
gg-759787,Y,
Qu-338917,Y,
XJ-075985,Y,
WC-138342,N,Incorrect Pin
Jw-444957,Y,
Rh-893627,Y,
rA-579157,Y,
wY-379403,Y,
VM-936500,Y,
cE-105220,N,The payment gateway does not support
fo-934127,Y,
Sj-581478,Y,
Sh-113143,Y,
Ri-115024,Y,
oq-654895,N,Incorrect Pin
eW-251572,Y,
uS-892889,Y,
gU-850771,Y,
hA-031609,N,Incorrect Pin
cV-321435,Y,
JM-701682,Y,
gS-352177,Y,
gS-369258,N,The billing address is invalid 
UP-190925,Y,
sF-277750,Y,
OZ-460775,Y,
aY-836027,Y,
OO-284372,Y,
qd-657404,N,The payment gateway does not support
Hn-125997,Y,
kK-339954,N,The consumers account is suspended or closed 
Fj-204582,Y,
gP-731282,Y,
qs-877176,Y,
hR-642497,N,Credit or debit card is expired 
ED-096020,Y,
hE-961522,N,Incorrect Pin
An-834749,Y,
Hl-182118,N,Credit or debit card is expired 
Zi-124630,Y,
Ur-525855,N,Credit or debit card is expired 
Kp-942372,Y,
KP-691103,Y,
yO-292765,Y,
fT-157470,N,Incorrect Pin
Lo-186564,Y,
xB-212369,Y,
XT-856683,Y,
nq-119314,Y,
bJ-474496,Y,
pa-021139,Y,
bA-053595,N,Merchant account blocks the transaction
LX-721205,Y,
rs-016708,Y,
WE-903194,Y,
Ci-313006,Y,
mV-494173,Y,
LU-106477,Y,
Az-586129,Y,
ih-292164,Y,
Ru-675351,Y,
ad-612547,Y,
zd-293500,Y,
EG-323509,Y,
NF-704881,N,Merchant account blocks the transaction
hL-676113,N,Merchant account blocks the transaction
jx-740412,N,The payment gateway does not support
aT-980593,Y,
aT-178232,Y,
yN-171250,Y,
vd-378563,Y,
Tu-895038,N,The billing address is invalid 
FH-954251,Y,
Fg-043332,Y,
ah-307925,Y,
dZ-084707,Y,
PP-497135,Y,
PW-083078,N,The consumers account is suspended or closed 
WL-148775,Y,
Uk-651615,Y,
yc-356080,N,Merchant account blocks the transaction
Pb-181739,N,Credit or debit card is canceled
Yr-682256,N,Credit or debit card is canceled
cu-932534,N,Credit or debit card is expired 
Ms-267998,Y,
pZ-451750,Y,
uT-419191,Y,
kk-060709,Y,
qN-176281,Y,
jN-483168,N,Merchant account blocks the transaction
rN-663296,Y,
Az-047995,Y,
kL-362127,Y,
LP-114749,Y,
Om-666984,Y,
lp-549565,Y,
qe-866204,Y,
Tp-328146,Y,
YL-285571,Y,
xB-395802,Y,
fU-520983,Y,
So-024878,Y,
IY-511820,Y,
vv-036400,N,The payment gateway does not support
mV-098143,Y,
Bh-106138,Y,
QV-129551,Y,
AH-562529,Y,
cF-188134,Y,
sy-843733,Y,
cW-894681,Y,
qK-290539,Y,
jw-587791,Y,
uR-080218,Y,
YI-966054,N,The consumers account is suspended or closed 
Ol-844543,Y,
px-419191,N,The payment gateway does not support
Lx-175266,N,Merchant account blocks the transaction
br-887178,N,Incorrect Pin
Wq-456319,Y,
gA-969181,Y,
sr-342772,Y,
GA-436858,N,The payment gateway does not support
mT-741874,N,The consumers account is suspended or closed 
By-916083,N,Merchant account blocks the transaction
XK-565749,N,Credit or debit card is canceled
rc-555488,N,The billing address is invalid 
SE-839551,Y,
qT-716936,N,Credit or debit card is expired 
YN-241120,Y,
wo-552865,Y,
Vl-688134,Y,
Ha-744678,Y,
QH-362876,Y,
vJ-915096,N,The billing address is invalid 
wm-243889,Y,
GA-637336,Y,
uD-204521,Y,
eJ-720760,N,The consumers account is suspended or closed 
jO-134655,Y,
DH-644869,N,Credit or debit card is expired 
lC-562786,N,Incorrect Pin
SE-539535,Y,
yb-960437,Y,
bw-446078,N,The payment gateway does not support
Dn-547637,N,The consumers account is suspended or closed 
fb-729651,N,The payment gateway does not support
qn-647843,N,Credit or debit card is expired 
KZ-661912,Y,
tl-641598,Y,
CX-619973,Y,
LX-039403,Y,
cp-025204,Y,
Kz-090982,Y,
Ly-281696,Y,
xb-912255,Y,
rc-279099,N,Credit or debit card is canceled
OI-749398,Y,
eU-523548,Y,
ja-246897,Y,
we-581371,Y,
gp-668021,Y,
pD-446888,Y,
sL-024817,N,The billing address is invalid 
fS-495576,Y,
tN-482046,Y,
Sg-080831,Y,
zT-483715,N,Incorrect Pin
Zm-931299,N,Merchant account blocks the transaction
Gr-549156,Y,
lg-107917,Y,
Tu-917749,Y,
TI-732697,N,The billing address is invalid 
Nm-450029,Y,
iZ-745764,Y,
OX-824667,N,Incorrect Pin
kn-337909,Y,
wm-042028,Y,
sy-641297,Y,
lK-864273,Y,
pl-912822,Y,
Kn-407021,Y,
XQ-692863,Y,
lZ-159458,Y,
TR-485833,Y,
BW-239153,Y,
BY-336720,N,Credit or debit card is canceled
vP-826840,Y,
pF-807184,Y,
lG-466825,Y,
Ta-857170,Y,
lR-822549,Y,
Wq-566093,Y,
bJ-626332,Y,
Or-568584,Y,
Rg-840431,N,Incorrect Pin
wx-899905,Y,
dE-528302,Y,
jV-601730,Y,
gp-585315,Y,
Qa-001379,Y,
GN-348005,N,Credit or debit card is canceled
dB-553410,Y,
RZ-003231,Y,
fn-982022,N,The billing address is invalid 
AO-989244,Y,
db-760912,Y,
HN-816806,Y,
ij-039877,N,Incorrect Pin
cz-127583,N,The consumers account is suspended or closed 
hX-004750,N,Credit or debit card is canceled
dx-457685,Y,
xS-311680,Y,
zY-109797,Y,
uM-408291,Y,
hR-367153,Y,
bO-389526,Y,
Lo-252391,Y,
Ou-989746,N,The consumers account is suspended or closed 
PG-288906,Y,
vd-763468,N,Credit or debit card is expired 
DK-117415,N,Credit or debit card is expired 
oD-205398,N,The billing address is invalid 
en-924348,Y,
Bw-312475,Y,
Zo-524424,Y,
mj-421491,N,The payment gateway does not support
nw-502602,Y,
KA-974393,Y,
Iv-398561,Y,
oV-431086,Y,
IX-575005,Y,
ca-916348,Y,
Ag-469865,Y,
ui-450642,Y,
LI-358694,Y,
PX-202374,Y,
XY-834832,Y,
eT-400014,Y,
qj-923554,Y,
yO-890839,Y,
em-194345,Y,
KN-028092,Y,
Kg-656703,Y,
fc-576107,Y,
OR-968185,N,The consumers account is suspended or closed 
ih-272776,Y,
Jt-409499,N,Credit or debit card is expired 
Sm-802851,Y,
DA-431103,Y,
Zl-687550,Y,
Lh-511311,Y,
yB-770162,Y,
qb-198591,Y,
dR-134474,Y,
Sa-880793,Y,
hI-971590,N,The consumers account is suspended or closed 
Jq-386913,Y,
fO-322878,Y,
TL-492387,Y,
Aj-817377,Y,
jm-635882,Y,
CE-807996,Y,
ii-002864,Y,
ig-660637,Y,
yY-476384,N,The payment gateway does not support
Yo-862418,Y,
Qd-759059,Y,
UT-146891,N,The billing address is invalid 
hT-770048,Y,
Gg-359227,Y,
kx-895750,Y,
kZ-896875,Y,
tA-153508,Y,
ch-681131,Y,
RL-987178,N,Incorrect Pin
Ia-315189,Y,
Ji-565945,Y,
Oh-516286,Y,
bb-834128,Y,
rb-808394,N,Credit or debit card is expired 
Mh-771627,N,Incorrect Pin
zd-315918,Y,
ii-542359,Y,
fH-607182,Y,
OP-656663,Y,
Jo-633268,Y,
Bm-949546,Y,
ME-918399,Y,
BS-283564,Y,
ue-266325,Y,
vS-640610,Y,
zL-511465,Y,
il-592540,Y,
Bl-854422,N,Credit or debit card is expired 
OQ-662462,Y,
Qo-709101,Y,
lD-643409,Y,
qL-181853,Y,
eN-777157,N,Incorrect Pin
eg-026891,Y,
YA-860796,N,Credit or debit card is canceled
wf-636484,N,Incorrect Pin
jZ-243071,Y,
AM-873211,N,Incorrect Pin
jW-286409,Y,
BQ-789248,Y,
Yv-404479,Y,
yF-028340,N,Incorrect Pin
DZ-590793,Y,
mw-431238,Y,
tf-050160,Y,
RN-874281,Y,
eL-082809,Y,
Sp-450459,Y,
tR-661158,Y,
yO-463747,Y,
Ql-433235,N,Merchant account blocks the transaction
Cb-422617,Y,
LP-050100,Y,
nH-748255,Y,
yH-512494,N,Credit or debit card is canceled
OQ-540563,Y,
Yy-354327,Y,
ti-613156,Y,
lF-351189,Y,
be-939225,N,The consumers account is suspended or closed 
NT-811730,N,The billing address is invalid 
jQ-517192,Y,
IS-211043,Y,
gt-083717,Y,
gE-932251,Y,
