20000 Leagues Under the Sea,61,Apr
20000 Leagues Under the Sea,27,Aug
20000 Leagues Under the Sea,21,Dec
20000 Leagues Under the Sea,42,Feb
20000 Leagues Under the Sea,36,Jan
20000 Leagues Under the Sea,13,Jul
20000 Leagues Under the Sea,45,Jun
20000 Leagues Under the Sea,45,Mar
20000 Leagues Under the Sea,24,May
20000 Leagues Under the Sea,26,Nov
20000 Leagues Under the Sea,60,Oct
20000 Leagues Under the Sea,24,Sep
Age of Discontuinity,42,Apr
Age of Discontuinity,30,Aug
Age of Discontuinity,50,Dec
Age of Discontuinity,19,Feb
Age of Discontuinity,34,Jan
Age of Discontuinity,50,Jul
Age of Discontuinity,19,Jun
Age of Discontuinity,37,Mar
Age of Discontuinity,35,May
Age of Discontuinity,29,Nov
Age of Discontuinity,23,Oct
Age of Discontuinity,18,Sep
Amulet of Samarkand,34,Apr
Amulet of Samarkand,17,Aug
Amulet of Samarkand,28,Dec
Amulet of Samarkand,10,Feb
Amulet of Samarkand,21,Jan
Amulet of Samarkand,46,Jul
Amulet of Samarkand,15,Jun
Amulet of Samarkand,12,Mar
Amulet of Samarkand,23,May
Amulet of Samarkand,66,Nov
Amulet of Samarkand,26,Oct
Amulet of Samarkand,22,Sep
Analysis,21,Apr
Analysis,29,Aug
Analysis,14,Dec
Analysis,29,Feb
Analysis,60,Jan
Analysis,38,Jul
Analysis,43,Jun
Analysis,18,Mar
Analysis,38,May
Analysis,26,Nov
Analysis,50,Oct
Analysis,39,Sep
Angels & Demons,91,Apr
Angels & Demons,48,Aug
Angels & Demons,43,Dec
Angels & Demons,65,Feb
Angels & Demons,73,Jan
Angels & Demons,77,Jul
Angels & Demons,66,Jun
Angels & Demons,104,Mar
Angels & Demons,115,May
Angels & Demons,75,Nov
Angels & Demons,67,Oct
Angels & Demons,76,Sep
Animal Farm,34,Apr
Animal Farm,1,Aug
Animal Farm,46,Dec
Animal Farm,26,Feb
Animal Farm,50,Jan
Animal Farm,16,Jul
Animal Farm,30,Jun
Animal Farm,48,Mar
Animal Farm,14,May
Animal Farm,40,Nov
Animal Farm,32,Oct
Animal Farm,55,Sep
Asami Asami,57,Apr
Asami Asami,31,Aug
Asami Asami,47,Dec
Asami Asami,28,Feb
Asami Asami,64,Jan
Asami Asami,38,Jul
Asami Asami,22,Jun
Asami Asami,36,Mar
Asami Asami,21,May
Asami Asami,26,Nov
Asami Asami,31,Oct
Asami Asami,17,Sep
Ashenden of The British Agent,23,Apr
Ashenden of The British Agent,18,Aug
Ashenden of The British Agent,25,Feb
Ashenden of The British Agent,29,Jan
Ashenden of The British Agent,38,Jul
Ashenden of The British Agent,34,Jun
Ashenden of The British Agent,50,Mar
Ashenden of The British Agent,56,May
Ashenden of The British Agent,56,Nov
Ashenden of The British Agent,51,Oct
Ashenden of The British Agent,17,Sep
Attorney,38,Apr
Attorney,52,Aug
Attorney,10,Dec
Attorney,39,Feb
Attorney,22,Jan
Attorney,21,Jul
Attorney,29,Jun
Attorney,21,Mar
Attorney,33,May
Attorney,10,Nov
Attorney,25,Oct
Attorney,2,Sep
Batatyachi Chal,68,Apr
Batatyachi Chal,40,Aug
Batatyachi Chal,57,Dec
Batatyachi Chal,29,Feb
Batatyachi Chal,9,Jan
Batatyachi Chal,20,Jul
Batatyachi Chal,45,Jun
Batatyachi Chal,17,Mar
Batatyachi Chal,52,May
Batatyachi Chal,21,Nov
Batatyachi Chal,31,Oct
Batatyachi Chal,38,Sep
Birth of a Theorem,56,Apr
Birth of a Theorem,33,Aug
Birth of a Theorem,62,Dec
Birth of a Theorem,18,Feb
Birth of a Theorem,34,Jan
Birth of a Theorem,11,Jul
Birth of a Theorem,21,Jun
Birth of a Theorem,26,Mar
Birth of a Theorem,32,May
Birth of a Theorem,49,Nov
Birth of a Theorem,31,Oct
Birth of a Theorem,49,Sep
Brethren,28,Apr
Brethren,32,Aug
Brethren,23,Dec
Brethren,25,Feb
Brethren,28,Jan
Brethren,36,Jul
Brethren,21,Jun
Brethren,37,Mar
Brethren,68,May
Brethren,28,Nov
Brethren,49,Oct
Brethren,28,Sep
Burning Bright,13,Apr
Burning Bright,15,Aug
Burning Bright,21,Dec
Burning Bright,32,Feb
Burning Bright,37,Jan
Burning Bright,10,Jul
Burning Bright,32,Jun
Burning Bright,52,Mar
Burning Bright,48,May
Burning Bright,29,Nov
Burning Bright,18,Oct
Burning Bright,28,Sep
Case of the Lame Canary,50,Apr
Case of the Lame Canary,12,Aug
Case of the Lame Canary,23,Dec
Case of the Lame Canary,52,Feb
Case of the Lame Canary,21,Jan
Case of the Lame Canary,17,Jul
Case of the Lame Canary,20,Jun
Case of the Lame Canary,65,Mar
Case of the Lame Canary,15,May
Case of the Lame Canary,31,Nov
Case of the Lame Canary,85,Oct
Case of the Lame Canary,31,Sep
Catch 22,26,Apr
Catch 22,26,Aug
Catch 22,32,Dec
Catch 22,47,Feb
Catch 22,11,Jan
Catch 22,31,Jul
Catch 22,46,Jun
Catch 22,50,Mar
Catch 22,37,May
Catch 22,25,Nov
Catch 22,38,Oct
Catch 22,31,Sep
Christmas Carol,1,Apr
Christmas Carol,38,Aug
Christmas Carol,36,Dec
Christmas Carol,20,Feb
Christmas Carol,24,Jan
Christmas Carol,43,Jul
Christmas Carol,25,Jun
Christmas Carol,29,Mar
Christmas Carol,46,May
Christmas Carol,6,Nov
Christmas Carol,30,Oct
Christmas Carol,40,Sep
City of Joy,15,Apr
City of Joy,53,Aug
City of Joy,29,Dec
City of Joy,17,Feb
City of Joy,6,Jan
City of Joy,29,Jul
City of Joy,25,Jun
City of Joy,23,Mar
City of Joy,27,May
City of Joy,70,Nov
City of Joy,15,Oct
City of Joy,51,Sep
Complete Sherlock Holmes,43,Apr
Complete Sherlock Holmes,110,Aug
Complete Sherlock Holmes,76,Dec
Complete Sherlock Holmes,70,Feb
Complete Sherlock Holmes,75,Jan
Complete Sherlock Holmes,84,Jul
Complete Sherlock Holmes,54,Jun
Complete Sherlock Holmes,76,Mar
Complete Sherlock Holmes,34,May
Complete Sherlock Holmes,86,Nov
Complete Sherlock Holmes,88,Oct
Complete Sherlock Holmes,58,Sep
Computer Vision,14,Apr
Computer Vision,24,Aug
Computer Vision,19,Dec
Computer Vision,11,Feb
Computer Vision,10,Jan
Computer Vision,22,Jul
Computer Vision,50,Jun
Computer Vision,19,Mar
Computer Vision,54,May
Computer Vision,27,Nov
Computer Vision,16,Oct
Computer Vision,49,Sep
Crime and Punishment,33,Apr
Crime and Punishment,23,Aug
Crime and Punishment,56,Dec
Crime and Punishment,16,Feb
Crime and Punishment,45,Jan
Crime and Punishment,48,Jul
Crime and Punishment,42,Jun
Crime and Punishment,47,Mar
Crime and Punishment,47,May
Crime and Punishment,37,Nov
Crime and Punishment,19,Oct
Crime and Punishment,26,Sep
Data Analysis with Open Source Tools,20,Apr
Data Analysis with Open Source Tools,12,Aug
Data Analysis with Open Source Tools,8,Dec
Data Analysis with Open Source Tools,8,Feb
Data Analysis with Open Source Tools,30,Jan
Data Analysis with Open Source Tools,37,Jul
Data Analysis with Open Source Tools,52,Jun
Data Analysis with Open Source Tools,21,Mar
Data Analysis with Open Source Tools,11,May
Data Analysis with Open Source Tools,19,Nov
Data Analysis with Open Source Tools,32,Oct
Data Analysis with Open Source Tools,19,Sep
Data Mining Handbook,25,Apr
Data Mining Handbook,45,Aug
Data Mining Handbook,51,Dec
Data Mining Handbook,37,Feb
Data Mining Handbook,23,Jan
Data Mining Handbook,23,Jul
Data Mining Handbook,67,Jun
Data Mining Handbook,16,Mar
Data Mining Handbook,26,May
Data Mining Handbook,22,Nov
Data Mining Handbook,39,Oct
Data Mining Handbook,86,Sep
Data Scientists at Work,40,Apr
Data Scientists at Work,46,Aug
Data Scientists at Work,66,Dec
Data Scientists at Work,17,Feb
Data Scientists at Work,55,Jan
Data Scientists at Work,20,Jul
Data Scientists at Work,24,Jun
Data Scientists at Work,15,Mar
Data Scientists at Work,30,May
Data Scientists at Work,36,Nov
Data Scientists at Work,22,Oct
Data Scientists at Work,61,Sep
Data Smart,53,Apr
Data Smart,56,Aug
Data Smart,57,Dec
Data Smart,20,Feb
Data Smart,21,Jan
Data Smart,16,Jul
Data Smart,30,Jun
Data Smart,38,Mar
Data Smart,33,May
Data Smart,33,Nov
Data Smart,32,Oct
Data Smart,26,Sep
Deceiver,38,Apr
Deceiver,41,Aug
Deceiver,28,Dec
Deceiver,28,Feb
Deceiver,28,Jan
Deceiver,28,Jul
Deceiver,26,Jun
Deceiver,66,Mar
Deceiver,20,May
Deceiver,15,Nov
Deceiver,7,Oct
Deceiver,30,Sep
Devil's Advocate,42,Apr
Devil's Advocate,32,Aug
Devil's Advocate,11,Dec
Devil's Advocate,33,Feb
Devil's Advocate,55,Jan
Devil's Advocate,43,Jul
Devil's Advocate,35,Jun
Devil's Advocate,18,Mar
Devil's Advocate,50,May
Devil's Advocate,15,Nov
Devil's Advocate,69,Oct
Devil's Advocate,51,Sep
Doctor in the Nude,25,Apr
Doctor in the Nude,31,Aug
Doctor in the Nude,39,Dec
Doctor in the Nude,14,Feb
Doctor in the Nude,37,Jan
Doctor in the Nude,37,Jul
Doctor in the Nude,28,Jun
Doctor in the Nude,55,Mar
Doctor in the Nude,31,May
Doctor in the Nude,36,Nov
Doctor in the Nude,32,Oct
Doctor in the Nude,40,Sep
Doctor on the Brain,40,Apr
Doctor on the Brain,24,Aug
Doctor on the Brain,41,Dec
Doctor on the Brain,22,Feb
Doctor on the Brain,26,Jan
Doctor on the Brain,28,Jul
Doctor on the Brain,34,Jun
Doctor on the Brain,56,Mar
Doctor on the Brain,16,May
Doctor on the Brain,37,Nov
Doctor on the Brain,34,Oct
Doctor on the Brain,30,Sep
Econometric Analysis,36,Apr
Econometric Analysis,22,Aug
Econometric Analysis,26,Dec
Econometric Analysis,39,Feb
Econometric Analysis,25,Jan
Econometric Analysis,71,Jul
Econometric Analysis,20,Jun
Econometric Analysis,38,Mar
Econometric Analysis,34,May
Econometric Analysis,40,Nov
Econometric Analysis,5,Oct
Econometric Analysis,20,Sep
Elements of Information Theory,38,Apr
Elements of Information Theory,21,Aug
Elements of Information Theory,34,Dec
Elements of Information Theory,26,Feb
Elements of Information Theory,13,Jan
Elements of Information Theory,20,Jul
Elements of Information Theory,11,Jun
Elements of Information Theory,40,Mar
Elements of Information Theory,26,May
Elements of Information Theory,34,Nov
Elements of Information Theory,53,Oct
Elements of Information Theory,4,Sep
Eyeless in Gaza,49,Apr
Eyeless in Gaza,33,Aug
Eyeless in Gaza,31,Dec
Eyeless in Gaza,13,Feb
Eyeless in Gaza,28,Jan
Eyeless in Gaza,20,Jul
Eyeless in Gaza,50,Jun
